Heure;Nucléaire;Charbon;Gaz semi-base;Gaz pointe;Fioul;Hydro;STEP pompage;STEP turbinage;Batterie injection;Batterie soutirage;Load
97;5640.0;0.0;0.0;0.0;0.0;0.0;1200.0;0.0;0.0;0.0;9222
98;4977.0;0.0;0.0;0.0;0.0;0.0;1200.0;0.0;0.0;0.0;8794
99;4964.0;0.0;0.0;0.0;0.0;0.0;1200.0;0.0;0.0;0.0;8722
100;5237.0;0.0;0.0;0.0;0.0;0.0;1200.0;0.0;0.0;0.0;9088
101;6065.0;0.0;0.0;0.0;0.0;0.0;1200.0;0.0;0.0;0.0;9914
102;6200.0;0.0;0.0;0.0;0.0;0.0;494.0;0.0;0.0;0.0;10634
103;6200.0;0.0;0.0;0.0;0.0;0.0;107.0;0.0;0.0;0.0;11131
104;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;0.0;0.0;11463
105;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;11719
106;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;70.0;0.0;0.0;11943
107;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;211.0;0.0;0.0;12097
108;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;79.0;0.0;0.0;11841
109;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;191.0;0.0;0.0;11663
110;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;346.0;0.0;0.0;11440
111;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;742.0;0.0;0.0;11349
112;6200.0;0.0;0.0;0.0;0.0;193.0;0.0;1200.0;0.0;0.0;11892
113;6200.0;0.0;0.0;0.0;0.0;865.0;0.0;1200.0;0.0;0.0;12286
114;6200.0;0.0;0.0;0.0;0.0;783.0;0.0;1200.0;0.0;0.0;12158
115;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;1179.0;0.0;0.0;11373
116;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;187.0;0.0;0.0;10735
117;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;138.0;0.0;0.0;10908
118;6200.0;0.0;0.0;0.0;0.0;459.0;0.0;0.0;0.0;0.0;11063
119;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;34.0;0.0;0.0;10800
120;6200.0;0.0;0.0;0.0;0.0;0.0;348.0;0.0;0.0;0.0;10475
121;6200.0;0.0;0.0;0.0;0.0;0.0;835.0;0.0;0.0;0.0;10174
122;5994.0;0.0;0.0;0.0;0.0;0.0;1200.0;0.0;0.0;0.0;9782
123;6019.0;0.0;0.0;0.0;0.0;0.0;1200.0;0.0;0.0;0.0;9731
124;6200.0;0.0;0.0;0.0;0.0;0.0;811.0;0.0;0.0;0.0;10216
125;6200.0;0.0;0.0;0.0;0.0;516.0;0.0;0.0;0.0;0.0;11391
126;6200.0;0.0;0.0;0.0;0.0;333.0;0.0;1200.0;0.0;0.0;12410
127;6200.0;0.0;0.0;0.0;0.0;695.0;0.0;1200.0;0.0;0.0;12747
128;6200.0;0.0;0.0;0.0;0.0;661.0;0.0;1200.0;0.0;0.0;12821
129;6200.0;0.0;0.0;0.0;0.0;373.0;0.0;1200.0;0.0;0.0;12868
130;6200.0;0.0;0.0;0.0;0.0;354.0;0.0;1200.0;0.0;0.0;12950
131;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;1119.0;0.0;0.0;12926
132;6200.0;0.0;0.0;0.0;0.0;443.0;0.0;0.0;0.0;0.0;12660
133;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;464.0;0.0;0.0;12435
134;6200.0;0.0;0.0;0.0;0.0;588.0;0.0;0.0;0.0;0.0;12237
